335B, 16, 10, 2
335B, 16, 10, 3
335B, 16, 10, 4
335B, 16, 10, 5
335B, 16, 10, 6
335B, 16, 10, 7
335B, 16, 10, 8
335B, 16, 10, 9
335B, 20, 0.1, 0
335B, 20, 0.1, 1
335B, 20, 0.1, 2
335B, 20, 0.1, 3
335B, 20, 0.1, 4
335B, 20, 0.1, 5
335B, 20, 0.1, 6
335B, 20, 0.1, 7
335B, 20, 0.1, 8
335B, 20, 0.1, 9
335B, 20, 1, 0
335B, 20, 1, 1
335B, 20, 1, 2
335B, 20, 1, 3
335B, 20, 1, 4
335B, 20, 1, 5
335B, 20, 1, 6
335B, 20, 1, 7
335B, 20, 1, 8
335B, 20, 1, 9
335B, 20, 10, 0
335B, 20, 10, 1
335B, 20, 10, 2
335B, 20, 10, 3
335B, 20, 10, 4
335B, 20, 10, 5
335B, 20, 10, 6
335B, 20, 10, 7
335B, 20, 10, 8
335B, 20, 10, 9
335B, 24, 0.1, 0
335B, 24, 0.1, 1
335B, 24, 0.1, 2
335B, 24, 0.1, 3
335B, 24, 0.1, 4
335B, 24, 0.1, 5
335B, 24, 0.1, 6
335B, 24, 0.1, 7
335B, 24, 0.1, 8
335B, 24, 0.1, 9
335B, 24, 1, 0
335B, 24, 1, 1
335B, 24, 1, 2
335B, 24, 1, 3
335B, 24, 1, 4
335B, 24, 1, 5
335B, 24, 1, 6
335B, 24, 1, 7
335B, 24, 1, 8
335B, 24, 1, 9
335B, 24, 10, 0
335B, 24, 10, 1
335B, 24, 10, 2
335B, 24, 10, 3
335B, 24, 10, 4
335B, 24, 10, 5
335B, 24, 10, 6
335B, 24, 10, 7
335B, 24, 10, 8
335B, 24, 10, 9
335B, 28, 0.1, 0
335B, 28, 0.1, 1
335B, 28, 0.1, 2
335B, 28, 0.1, 3
335B, 28, 0.1, 4
335B, 28, 0.1, 5
335B, 28, 0.1, 6
335B, 28, 0.1, 7
335B, 28, 0.1, 8
335B, 28, 0.1, 9
335B, 28, 1, 0
335B, 28, 1, 1
335B, 28, 1, 2
335B, 28, 1, 3
335B, 28, 1, 4
335B, 28, 1, 5
335B, 28, 1, 6
335B, 28, 1, 7
335B, 28, 1, 8
335B, 28, 1, 9
335B, 28, 10, 0
335B, 28, 10, 1
335B, 28, 10, 2
335B, 28, 10, 3
335B, 28, 10, 4
335B, 28, 10, 5
335B, 28, 10, 6
335B, 28, 10, 7
335B, 28, 10, 8
335B, 28, 10, 9
439B, 4, 0.1, 0
439B, 4, 0.1, 1
439B, 4, 0.1, 2
439B, 4, 0.1, 3
439B, 4, 0.1, 4
439B, 4, 0.1, 5
439B, 4, 0.1, 6
439B, 4, 0.1, 7
439B, 4, 0.1, 8
439B, 4, 0.1, 9
439B, 4, 1, 0
439B, 4, 1, 1
439B, 4, 1, 2
439B, 4, 1, 3
439B, 4, 1, 4
439B, 4, 1, 5
439B, 4, 1, 6
439B, 4, 1, 7
439B, 4, 1, 8
439B, 4, 1, 9
439B, 4, 10, 0
439B, 4, 10, 1
439B, 4, 10, 2
439B, 4, 10, 3
439B, 4, 10, 4
439B, 4, 10, 5
439B, 4, 10, 6
439B, 4, 10, 7
439B, 4, 10, 8
439B, 4, 10, 9
439B, 8, 0.1, 0
439B, 8, 0.1, 1
439B, 8, 0.1, 2
439B, 8, 0.1, 3
439B, 8, 0.1, 4
439B, 8, 0.1, 5
439B, 8, 0.1, 6
439B, 8, 0.1, 7
439B, 8, 0.1, 8
439B, 8, 0.1, 9
439B, 8, 1, 0
439B, 8, 1, 1
439B, 8, 1, 2
439B, 8, 1, 3
439B, 8, 1, 4
439B, 8, 1, 5
439B, 8, 1, 6
439B, 8, 1, 7
439B, 8, 1, 8
439B, 8, 1, 9
439B, 8, 10, 0
439B, 8, 10, 1
439B, 8, 10, 2
439B, 8, 10, 3
439B, 8, 10, 4
439B, 8, 10, 5
439B, 8, 10, 6
439B, 8, 10, 7
439B, 8, 10, 8
439B, 8, 10, 9
439B, 12, 0.1, 0
439B, 12, 0.1, 1
439B, 12, 0.1, 2
439B, 12, 0.1, 3
439B, 12, 0.1, 4
439B, 12, 0.1, 5
439B, 12, 0.1, 6
439B, 12, 0.1, 7
439B, 12, 0.1, 8
439B, 12, 0.1, 9
439B, 12, 1, 0
439B, 12, 1, 1
439B, 12, 1, 2
439B, 12, 1, 3
439B, 12, 1, 4
439B, 12, 1, 5
439B, 12, 1, 6
439B, 12, 1, 7
439B, 12, 1, 8
439B, 12, 1, 9
439B, 12, 10, 0
439B, 12, 10, 1
439B, 12, 10, 2
439B, 12, 10, 3
439B, 12, 10, 4
439B, 12, 10, 5
439B, 12, 10, 6
439B, 12, 10, 7
439B, 12, 10, 8
439B, 12, 10, 9
439B, 16, 0.1, 0
439B, 16, 0.1, 1
439B, 16, 0.1, 2
439B, 16, 0.1, 3
439B, 16, 0.1, 4
439B, 16, 0.1, 5
439B, 16, 0.1, 6
439B, 16, 0.1, 7
439B, 16, 0.1, 8
439B, 16, 0.1, 9
439B, 16, 1, 0
439B, 16, 1, 1
439B, 16, 1, 2
439B, 16, 1, 3
439B, 16, 1, 4
439B, 16, 1, 5
439B, 16, 1, 6
439B, 16, 1, 7
439B, 16, 1, 8
439B, 16, 1, 9
439B, 16, 10, 0
439B, 16, 10, 1
439B, 16, 10, 2
439B, 16, 10, 3
439B, 16, 10, 4
439B, 16, 10, 5
439B, 16, 10, 6
439B, 16, 10, 7
439B, 16, 10, 8
439B, 16, 10, 9
439B, 20, 0.1, 0
439B, 20, 0.1, 1
439B, 20, 0.1, 2
439B, 20, 0.1, 3
439B, 20, 0.1, 4
439B, 20, 0.1, 5
439B, 20, 0.1, 6
439B, 20, 0.1, 7
439B, 20, 0.1, 8
439B, 20, 0.1, 9
439B, 20, 1, 0
439B, 20, 1, 1
439B, 20, 1, 2
439B, 20, 1, 3
439B, 20, 1, 4
439B, 20, 1, 5
439B, 20, 1, 6
439B, 20, 1, 7
439B, 20, 1, 8
439B, 20, 1, 9
439B, 20, 10, 0
439B, 20, 10, 1
439B, 20, 10, 2
439B, 20, 10, 3
439B, 20, 10, 4
439B, 20, 10, 5
439B, 20, 10, 6
439B, 20, 10, 7
439B, 20, 10, 8
439B, 20, 10, 9
439B, 24, 0.1, 0
439B, 24, 0.1, 1
439B, 24, 0.1, 2
439B, 24, 0.1, 3
439B, 24, 0.1, 4
439B, 24, 0.1, 5
439B, 24, 0.1, 6
439B, 24, 0.1, 7
439B, 24, 0.1, 8
439B, 24, 0.1, 9
439B, 24, 1, 0
439B, 24, 1, 1
439B, 24, 1, 2
439B, 24, 1, 3
439B, 24, 1, 4
439B, 24, 1, 5
439B, 24, 1, 6
439B, 24, 1, 7
439B, 24, 1, 8
439B, 24, 1, 9
439B, 24, 10, 0
439B, 24, 10, 1
439B, 24, 10, 2
439B, 24, 10, 3
439B, 24, 10, 4
439B, 24, 10, 5
439B, 24, 10, 6
439B, 24, 10, 7
439B, 24, 10, 8
439B, 24, 10, 9
439B, 28, 0.1, 0
439B, 28, 0.1, 1
439B, 28, 0.1, 2
439B, 28, 0.1, 3
439B, 28, 0.1, 4
439B, 28, 0.1, 5
439B, 28, 0.1, 6
439B, 28, 0.1, 7
439B, 28, 0.1, 8
439B, 28, 0.1, 9
439B, 28, 1, 0
439B, 28, 1, 1
439B, 28, 1, 2
439B, 28, 1, 3
439B, 28, 1, 4
439B, 28, 1, 5
439B, 28, 1, 6
439B, 28, 1, 7
439B, 28, 1, 8
439B, 28, 1, 9
439B, 28, 10, 0
439B, 28, 10, 1
439B, 28, 10, 2
439B, 28, 10, 3
439B, 28, 10, 4
439B, 28, 10, 5
439B, 28, 10, 6
439B, 28, 10, 7
439B, 28, 10, 8
439B, 28, 10, 9
524R, 4, 0.1, 0
524R, 4, 0.1, 1
524R, 4, 0.1, 2
524R, 4, 0.1, 3
524R, 4, 0.1, 4
524R, 4, 0.1, 5
524R, 4, 0.1, 6
524R, 4, 0.1, 7
524R, 4, 0.1, 8
524R, 4, 0.1, 9
524R, 4, 1, 0
524R, 4, 1, 1
524R, 4, 1, 2
524R, 4, 1, 3
524R, 4, 1, 4
524R, 4, 1, 5
524R, 4, 1, 6
524R, 4, 1, 7
524R, 4, 1, 8
524R, 4, 1, 9
524R, 4, 10, 0
524R, 4, 10, 1
524R, 4, 10, 2
524R, 4, 10, 3
524R, 4, 10, 4
524R, 4, 10, 5
524R, 4, 10, 6
524R, 4, 10, 7
524R, 4, 10, 8
524R, 4, 10, 9
524R, 8, 0.1, 0
524R, 8, 0.1, 1
524R, 8, 0.1, 2
524R, 8, 0.1, 3
524R, 8, 0.1, 4
524R, 8, 0.1, 5
524R, 8, 0.1, 6
524R, 8, 0.1, 7
524R, 8, 0.1, 8
524R, 8, 0.1, 9
524R, 8, 1, 0
524R, 8, 1, 1
524R, 8, 1, 2
524R, 8, 1, 3
524R, 8, 1, 4
524R, 8, 1, 5
524R, 8, 1, 6
524R, 8, 1, 7
524R, 8, 1, 8
524R, 8, 1, 9
524R, 8, 10, 0
524R, 8, 10, 1
524R, 8, 10, 2
524R, 8, 10, 3
524R, 8, 10, 4
524R, 8, 10, 5
524R, 8, 10, 6
524R, 8, 10, 7
524R, 8, 10, 8
524R, 8, 10, 9
524R, 12, 0.1, 0
524R, 12, 0.1, 1
524R, 12, 0.1, 2
524R, 12, 0.1, 3
524R, 12, 0.1, 4
524R, 12, 0.1, 5
524R, 12, 0.1, 6
524R, 12, 0.1, 7
524R, 12, 0.1, 8
524R, 12, 0.1, 9
524R, 12, 1, 0
524R, 12, 1, 1
524R, 12, 1, 2
524R, 12, 1, 3
524R, 12, 1, 4
524R, 12, 1, 5
524R, 12, 1, 6
524R, 12, 1, 7
524R, 12, 1, 8
524R, 12, 1, 9
524R, 12, 10, 0
524R, 12, 10, 1
524R, 12, 10, 2
524R, 12, 10, 3
524R, 12, 10, 4
524R, 12, 10, 5
524R, 12, 10, 6
524R, 12, 10, 7
524R, 12, 10, 8
524R, 12, 10, 9
524R, 16, 0.1, 0
524R, 16, 0.1, 1
524R, 16, 0.1, 2
524R, 16, 0.1, 3
524R, 16, 0.1, 4
524R, 16, 0.1, 5
524R, 16, 0.1, 6
524R, 16, 0.1, 7
524R, 16, 0.1, 8
524R, 16, 0.1, 9
524R, 16, 1, 0
524R, 16, 1, 1
524R, 16, 1, 2
524R, 16, 1, 3
524R, 16, 1, 4
524R, 16, 1, 5
524R, 16, 1, 6
524R, 16, 1, 7
524R, 16, 1, 8
524R, 16, 1, 9
524R, 16, 10, 0
524R, 16, 10, 1
524R, 16, 10, 2
524R, 16, 10, 3
524R, 16, 10, 4
524R, 16, 10, 5
524R, 16, 10, 6
524R, 16, 10, 7
524R, 16, 10, 8
524R, 16, 10, 9
524R, 20, 0.1, 0
524R, 20, 0.1, 1
524R, 20, 0.1, 2
524R, 20, 0.1, 3
524R, 20, 0.1, 4
524R, 20, 0.1, 5
524R, 20, 0.1, 6
524R, 20, 0.1, 7
524R, 20, 0.1, 8
524R, 20, 0.1, 9
524R, 20, 1, 0
524R, 20, 1, 1
524R, 20, 1, 2
524R, 20, 1, 3
524R, 20, 1, 4
524R, 20, 1, 5
524R, 20, 1, 6
524R, 20, 1, 7
524R, 20, 1, 8
524R, 20, 1, 9
524R, 20, 10, 0
524R, 20, 10, 1
524R, 20, 10, 2
524R, 20, 10, 3
524R, 20, 10, 4
524R, 20, 10, 5
524R, 20, 10, 6
524R, 20, 10, 7
524R, 20, 10, 8
524R, 20, 10, 9
524R, 24, 0.1, 0
524R, 24, 0.1, 1
524R, 24, 0.1, 2
524R, 24, 0.1, 3
524R, 24, 0.1, 4
524R, 24, 0.1, 5
524R, 24, 0.1, 6
524R, 24, 0.1, 7
524R, 24, 0.1, 8
524R, 24, 0.1, 9
524R, 24, 1, 0
524R, 24, 1, 1
524R, 24, 1, 2
524R, 24, 1, 3
524R, 24, 1, 4
524R, 24, 1, 5
524R, 24, 1, 6
524R, 24, 1, 7
524R, 24, 1, 8
524R, 24, 1, 9
524R, 24, 10, 0
524R, 24, 10, 1
524R, 24, 10, 2
524R, 24, 10, 3
524R, 24, 10, 4
524R, 24, 10, 5
524R, 24, 10, 6
524R, 24, 10, 7
524R, 24, 10, 8
524R, 24, 10, 9
524R, 28, 0.1, 0
524R, 28, 0.1, 1
524R, 28, 0.1, 2
524R, 28, 0.1, 3
524R, 28, 0.1, 4
524R, 28, 0.1, 5
524R, 28, 0.1, 6
524R, 28, 0.1, 7
524R, 28, 0.1, 8
524R, 28, 0.1, 9
524R, 28, 1, 0
524R, 28, 1, 1
524R, 28, 1, 2
524R, 28, 1, 3
524R, 28, 1, 4
524R, 28, 1, 5
524R, 28, 1, 6
524R, 28, 1, 7
524R, 28, 1, 8
524R, 28, 1, 9
524R, 28, 10, 0
524R, 28, 10, 1
524R, 28, 10, 2
524R, 28, 10, 3
524R, 28, 10, 4
524R, 28, 10, 5
524R, 28, 10, 6
524R, 28, 10, 7
524R, 28, 10, 8
524R, 28, 10, 9
